644 2.731366459627329
(644, 2.731366459627329)
(672, 3.2083333333333335)
(650, 3.2553846153846155)
(643, 3.2581648522550544)
(649, 3.2665639445300463)
(639, 3.3051643192488265)
(645, 3.314728682170543)
(642, 3.3286604361370715)
(641, 3.3322932917316694)
(647, 3.3508500772797527)
(652, 3.3665644171779143)
(651, 3.380952380952381)
(654, 3.426605504587156)
(646, 3.4458204334365323)
(640, 3.45625)
(656, 3.481707317073171)
(648, 3.486111111111111)
(657, 3.512937595129376)
(666, 3.515015015015015)
(658, 3.522796352583587)
(662, 3.525679758308157)
(655, 3.546564885496183)
(660, 3.546969696969697)
(653, 3.572741194486983)
(661, 3.5794251134644477)
(665, 3.5804511278195488)
(659, 3.582701062215478)
(664, 3.5948795180722892)
(667, 3.638680659670165)
(700, 3.6614285714285715)
(669, 3.680119581464873)
(663, 3.717948717948718)
(671, 3.721311475409836)
(679, 3.736377025036819)
(677, 3.75480059084195)
(668, 3.7574850299401197)
(678, 3.75811209439528)
(670, 3.7611940298507465)
(684, 3.763157894736842)
(673, 3.7711738484398216)
(676, 3.7810650887573964)
(688, 3.7950581395348837)
(680, 3.7955882352941175)
(674, 3.7997032640949553)
(675, 3.823703703703704)
(682, 3.866568914956012)
(681, 3.886930983847283)
(690, 3.8869565217391306)
(687, 3.8951965065502185)
(686, 3.9037900874635567)
(694, 3.909221902017291)
(683, 3.910688140556369)
(685, 3.937226277372263)
(689, 3.9462989840348333)
(693, 3.9466089466089467)
(692, 3.9884393063583814)
(699, 3.994277539341917)
(695, 3.9971223021582736)
(691, 4.0231548480463095)
(728, 4.031593406593407)
(707, 4.052333804809052)
(697, 4.067431850789096)
(701, 4.068473609129814)
(706, 4.069405099150142)
(698, 4.108882521489972)
(702, 4.126780626780627)
(696, 4.14367816091954)
(705, 4.157446808510638)
(703, 4.160739687055477)
(712, 4.172752808988764)
(710, 4.180281690140845)
(708, 4.193502824858757)
(716, 4.194134078212291)
(713, 4.232819074333801)
(709, 4.251057827926657)
(715, 4.251748251748252)
(722, 4.260387811634349)
(704, 4.265625)
(718, 4.270194986072424)
(721, 4.276005547850208)
(714, 4.278711484593837)
(711, 4.29957805907173)
(720, 4.304166666666666)
(723, 4.3112033195020745)
(756, 4.321428571428571)
(719, 4.3337969401947145)
(729, 4.382716049382716)
(730, 4.390410958904109)
(717, 4.394700139470014)
(727, 4.4071526822558456)
(726, 4.410468319559229)
(724, 4.415745856353591)
(725, 4.433103448275862)
(735, 4.434013605442177)
(733, 4.435197817189632)
(731, 4.45280437756498)
(734, 4.498637602179836)
(736, 4.5040760869565215)
(732, 4.509562841530054)
(743, 4.528936742934051)
(744, 4.543010752688172)
(740, 4.552702702702702)
(742, 4.556603773584905)
(738, 4.567750677506775)
(750, 4.576)
(749, 4.580774365821095)
(746, 4.591152815013404)
(763, 4.592398427260813)
(737, 4.595658073270013)
(745, 4.604026845637584)
(739, 4.607577807848444)
(741, 4.623481781376518)
(748, 4.632352941176471)
(753, 4.658698539176627)
(751, 4.660452729693741)
(747, 4.676037483266399)
(755, 4.67682119205298)
(784, 4.686224489795919)
(762, 4.71259842519685)
(759, 4.7272727272727275)
(754, 4.728116710875332)
(768, 4.73046875)
(761, 4.745072273324573)
(752, 4.746010638297872)
(760, 4.764473684210526)
(758, 4.771767810026385)
(764, 4.776178010471204)
(757, 4.782034346103038)
(766, 4.795039164490862)
(812, 4.79679802955665)
(771, 4.824902723735408)
(770, 4.84025974025974)
(765, 4.840522875816993)
(777, 4.858429858429859)
(778, 4.870179948586118)
(767, 4.878748370273794)
(772, 4.8860103626943)
(773, 4.8913324708926265)
(776, 4.900773195876289)
(769, 4.902470741222367)
(779, 4.920410783055199)
(774, 4.935400516795865)
(781, 4.956466069142126)
(783, 4.973180076628353)
(789, 4.997465145754119)
(790, 5.012658227848101)
(782, 5.016624040920716)
(791, 5.02275600505689)
(786, 5.036895674300254)
(796, 5.040201005025126)
(794, 5.052896725440806)
(800, 5.07125)
(775, 5.072258064516129)
(787, 5.08005082592122)
(785, 5.081528662420382)
(780, 5.091025641025641)
(792, 5.095959595959596)
(788, 5.101522842639594)
(802, 5.109725685785536)
(793, 5.12484237074401)
(798, 5.134085213032582)
(795, 5.149685534591195)
(804, 5.167910447761194)
(799, 5.171464330413016)
(803, 5.193026151930262)
(797, 5.19573400250941)
(806, 5.202233250620347)
(840, 5.214285714285714)
(807, 5.223048327137547)
(801, 5.227215980024969)
(809, 5.227441285537701)
(805, 5.234782608695652)
(819, 5.244200244200244)
(814, 5.2727272727272725)
(810, 5.286419753086419)
(815, 5.301840490797546)
(811, 5.302096177558569)
(813, 5.308733087330873)
(818, 5.319070904645477)
(808, 5.321782178217822)
(824, 5.328883495145631)
(822, 5.329683698296837)
(817, 5.341493268053855)
(821, 5.352009744214373)
(827, 5.3651753325272065)
(820, 5.371951219512195)
(828, 5.371980676328502)
(825, 5.376969696969697)
(834, 5.382494004796163)
(823, 5.393681652490887)
(816, 5.41421568627451)
(833, 5.418967587034814)
(832, 5.4326923076923075)
(831, 5.436823104693141)
(830, 5.446987951807229)
(829, 5.4595898673100125)
(826, 5.480629539951574)
(835, 5.502994011976048)
(868, 5.508064516129032)
(839, 5.510131108462455)
(837, 5.5149342891278375)
(841, 5.5219976218787155)
(843, 5.536180308422301)
(838, 5.536992840095466)
(845, 5.543195266272189)
(836, 5.544258373205742)
(842, 5.545130641330166)
(847, 5.553719008264463)
(846, 5.557919621749409)
(852, 5.563380281690141)
(850, 5.576470588235294)
(853, 5.584994138335287)
(848, 5.586084905660377)
(844, 5.619668246445498)
(862, 5.634570765661253)
(855, 5.639766081871345)
(861, 5.642276422764228)
(854, 5.646370023419204)
(856, 5.649532710280374)
(858, 5.655011655011655)
(863, 5.657010428736964)
(851, 5.668625146886017)
(860, 5.681395348837209)
(857, 5.693115519253209)
(849, 5.698468786808009)
(859, 5.70081490104773)
(896, 5.71875)
(866, 5.736720554272518)
(870, 5.7540229885057474)
(874, 5.762013729977117)
(878, 5.766514806378132)
(869, 5.769850402761795)
(867, 5.770472895040369)
(865, 5.7710982658959535)
(871, 5.780711825487945)
(875, 5.784)
(884, 5.791855203619909)
(864, 5.809027777777778)
(876, 5.824200913242009)
(873, 5.828178694158075)
(880, 5.828409090909091)
(883, 5.831257078142696)
(872, 5.833715596330276)
(886, 5.846501128668171)
(882, 5.870748299319728)
(879, 5.882821387940842)
(887, 5.890642615558061)
(877, 5.897377423033067)
(889, 5.897637795275591)
(881, 5.902383654937571)
(888, 5.903153153153153)
(890, 5.919101123595506)
(893, 5.921612541993281)
(894, 5.926174496644295)
(885, 5.927683615819209)
(891, 5.929292929292929)
(895, 5.939664804469274)
(901, 5.95338512763596)
(897, 5.965440356744705)
(903, 5.965669988925803)
(924, 6.001082251082251)
(898, 6.008908685968819)
(902, 6.012195121951219)
(906, 6.014348785871965)
(892, 6.0190582959641254)
(904, 6.025442477876106)
(899, 6.032258064516129)
(908, 6.045154185022026)
(905, 6.051933701657458)
(909, 6.063806380638064)
(911, 6.066959385290889)
(914, 6.074398249452954)
(900, 6.0744444444444445)
(910, 6.082417582417582)
(913, 6.0854326396495075)
(907, 6.0859977949283355)
(918, 6.099128540305011)
(917, 6.102508178844056)
(916, 6.108078602620087)
(912, 6.110745614035087)
(952, 6.116596638655462)
(919, 6.119695321001088)
(915, 6.149726775956284)
(923, 6.160346695557963)
(921, 6.160694896851249)
(931, 6.183673469387755)
(929, 6.184068891280948)
(920, 6.185869565217391)
(925, 6.188108108108108)
(930, 6.188172043010753)
(922, 6.190889370932755)
(927, 6.195253505933118)
(936, 6.208333333333333)
(926, 6.2105831533477325)
(928, 6.219827586206897)
(934, 6.2387580299785865)
(937, 6.250800426894344)
(933, 6.260450160771704)
(938, 6.26226012793177)
(932, 6.263948497854077)
(940, 6.264893617021277)
(945, 6.266666666666667)
(935, 6.270588235294118)
(947, 6.295670538542766)
(942, 6.301486199575372)
(946, 6.3023255813953485)
(943, 6.31813361611877)
(941, 6.318809776833156)
(944, 6.319915254237288)
(939, 6.324813631522897)
(949, 6.336143308746048)
(953, 6.357817418677859)
